 Event;Date;Time;User/Messagenr.;Type/State/Recipe No./Messagetext;Name/Messagetext/File name;Old value;New value;Symbol name;
E;2017.04.07;09:07:26;9000;1;Systemstart;
I;2017.04.07;09:08:35;;S;UPW_LoginUserName;;mthoss;UPW_LoginUserName;
I;2017.04.07;09:08:45;;S;UPW_LoginPasswort;********************************;********************************;UPW_LoginPasswort;
I;2017.04.07;09:11:24;mthoss;S;UPW_DefUserName;mthoss;scheller;UPW_DefUserName;
I;2017.04.07;09:11:43;mthoss;S;UPW_LoginPasswort;********************************;********************************;UPW_LoginPasswort;
I;2017.04.07;09:11:50;mthoss;D;Eingabe;0;1;dEnter;
I;2017.04.07;09:11:50;mthoss;D;Eingabe;1;0;dEnter;
I;2017.04.07;09:11:50;mthoss;A;UPW_DefUserLevel;6;2;UPW_DefUserLevel;
I;2017.04.07;09:12:12;mthoss;S;UPW_PasswortCheck1;********************************;********************************;UPW_PasswortCheck1;
A;2017.04.07;09:28:26;0600;1;FTP-Zugriff;
A;2017.04.07;09:30:12;0600;0;FTP-Zugriff;
A;2017.04.07;09:32:14;0600;1;FTP-Zugriff;
A;2017.04.07;09:34:44;0600;0;FTP-Zugriff;
A;2017.04.07;09:35:48;0600;1;FTP-Zugriff;
A;2017.04.07;09:36:49;0600;0;FTP-Zugriff;
A;2017.04.07;09:37:02;0600;1;FTP-Zugriff;
A;2017.04.07;09:38:02;0600;0;FTP-Zugriff;
A;2017.04.07;09:38:48;0600;1;FTP-Zugriff;
A;2017.04.07;09:39:48;0600;0;FTP-Zugriff;
A;2017.04.07;09:40:26;0600;1;FTP-Zugriff;
A;2017.04.07;09:41:26;0600;0;FTP-Zugriff;
A;2017.04.07;09:50:18;0600;1;FTP-Zugriff;
A;2017.04.07;09:51:43;0600;0;FTP-Zugriff;
I;2017.04.07;09:54:16;student;D;Taster Pumpe einschalten;0;1;dTastPumpeEin;
A;2017.04.07;09:54:17;0027;1;÷lvorw‰rmung eingeschaltet - keine Fahrbewegung mˆglich;
I;2017.04.07;09:54:20;student;D;Taster Heizung einschalten;0;1;dTastHeizungEin;
A;2017.04.07;10:01:42;0047;0;÷ltemperatur zu niedrig;
A;2017.04.07;10:05:02;0023;0;Unterschreitung Schneckentemperatur;
A;2017.04.07;10:07:03;0027;0;÷lvorw‰rmung eingeschaltet - keine Fahrbewegung mˆglich;
A;2017.04.07;10:26:53;0600;1;FTP-Zugriff;
A;2017.04.07;10:27:53;0600;0;FTP-Zugriff;
I;2017.04.07;10:31:59;student;D;Taster Pumpe einschalten;0;1;dTastPumpeEin;
I;2017.04.07;10:32:13;student;D;Betriebsart Taster HAND EIN;0;1;dTastHAND;
